BorrowerName,BorrowerAddress,BorrowerCity,BorrowerState,InitialApprovalAmount,LoanStatus,DateApproved,LoanNumber,NAICSCode,ServicingLenderName,OriginatingLender
TROMBERG LAW GROUP,1515 S Federal Hwy Ste 100,Boca Raton,FL,735891.57,Paid in Full,01/31/2021,9695128303,541199,U.S. Century Bank,U.S. Century Bank
SHOEMAKER TRANSPORT SERVICES INC.,3111 Sally Parker Rd,Lucedale,MS,732760.0,Paid in Full,01/26/2021,6157738308,484110,Century Bank,Century Bank
JIM TAYLOR FORD LINCOLN MERCURY LLC,1605 North Service Rd,Ruston,LA,732330.0,Paid in Full,04/13/2020,5142357101,441110,Century Next Bank,Century Next Bank
NEO MANUFACTURING LLC,21900 US HIGHWAY 12,STURGIS,MI,729100.0,Paid in Full,04/04/2020,4724037007,336212,Century Bank and Trust,Century Bank and Trust
AMERICAN SOCIAL BRICKELL LLC,690 SW 1st Ct,Miami,FL,726501.4,Paid in Full,01/28/2021,7723708310,722511,U.S. Century Bank,U.S. Century Bank
"PRACTICE MANAGEMENT SOLUTIONS, LLC",1105 Hudson Lane,Monroe,LA,707845.16,Paid in Full,04/15/2020,8661427104,624190,Century Next Bank,Century Next Bank
ANNA'S BANANAS DAYCARE INC.,8692 Eagle Creek Cir,Savage,MN,700000.0,Paid in Full,01/20/2021,2418298308,624410,21st Century Bank,21st Century Bank
PUEBLO OF POJOAQUE ENTERPRISES CORPORATION,30 Buffalo Thunder Trail,SANTA FE,NM,699390.0,Paid in Full,04/29/2020,4317907305,713210,Century Bank,Century Bank
IWERKS ENTERTAINMENT INC.,27509 Avenue Hopkins,Santa Clarita,CA,688314.64,Paid in Full,02/03/2021,2426228407,512110,First Century Bank National Association,First Century Bank National Association
LOUISIANA BAPTIST CHILDREN'S HOME AND FAMILY MINISTRIES,7200 Desiard,Monroe,LA,683192.2,Paid in Full,04/10/2020,1336347109,813110,Century Next Bank,Century Next Bank
"OGILVIE ELECTRIC, INC.",19360 COUNTY ROAD 81,MAPLE GROVE,MN,682800.0,Paid in Full,04/05/2020,5284237008,238210,21st Century Bank,21st Century Bank
"SPECIALIZED TREATMENT SERVICES, INC",311 SPRUCE ST,SAINT PAUL,MN,679100.0,Paid in Full,04/08/2020,8461927009,621420,21st Century Bank,21st Century Bank
AGE OF EMPIRE INC,11475 SW 43rd Ter,Miami,FL,678189.35,Paid in Full,01/30/2021,9504358300,236118,U.S. Century Bank,U.S. Century Bank
CATHOLIC CHARITIES,2010 Bridge Blvd SW,Albuquerque,NM,673380.0,Paid in Full,02/04/2021,2999208409,624190,Century Bank,Century Bank
OPERATIONAL PROFESSIONAL SERVICES LLC,1195 Moreland Rd,Camdenton,MO,670800.0,Paid in Full,05/26/2021,7596269007,561720,Century Bank of the Ozarks,Century Bank of the Ozarks
CRAWFORD MERZ LLC,33 S 6th St Ste 4510,Minneapolis,MN,663800.0,Paid in Full,01/16/2021,1107118309,236220,21st Century Bank,21st Century Bank
"KRISTI HOUSE, INC",1265 NW 12TH AVE,MIAMI,FL,658560.55,Paid in Full,04/12/2020,4051857109,624110,U.S. Century Bank,U.S. Century Bank
ST. MICHAEL'S COLLEGE,100 Siringo Rd,Santa Fe,NM,655105.0,Paid in Full,04/29/2021,4565128901,611310,Century Bank,Century Bank
NPARALLEL LLC,13120 County Road 6,Plymouth,MN,655000.0,Paid in Full,01/30/2021,9438808305,541420,21st Century Bank,21st Century Bank
"HIGH RIDGE CONSTRUCTION, INC.",10490 DYER ST,EL PASO,TX,639703.62,Paid in Full,04/09/2020,9432897008,236220,Century Bank,Century Bank
"W.L. BASS CONSTRUCTION, INC.",420 HIGHWAY 80 EAST,MONROE,LA,637455.0,Paid in Full,04/09/2020,9155147007,236210,Century Next Bank,Century Next Bank
"THE GOLDEN COW, LLC",2937 27TH AVE,MIAMI,FL,634017.0,Paid in Full,04/27/2020,4656987203,445120,U.S. Century Bank,U.S. Century Bank
"CRITICAL AIR RESPONSE ENTERPRISES, LLC",5345 WYOMING BLVD NE STE 105,ALBUQUERQUE,NM,633127.0,Paid in Full,04/11/2020,3315797104,621910,Century Bank,Century Bank
