owner_name,property_address,mailing_address,mail_city,APN,LastSaleDate,LastSaleValue,BorrowerName,ppp_city,ppp_state,CurrentApprovalAmount,ForgivenessAmount,LoanStatus,DateApproved,OriginatingLender,OriginatingLenderState,NAICSCode,BusinessType
SANDERSON GROUP LLC,16212 KIPLING CIR,48 CIELO AZUL,MISSION VIEJO,107-903-11,02/09/1999,0.0,SANDERSON GROUP LLC,AUSTIN,TX,8332.0,,Paid in Full,04/30/2020,"JPMorgan Chase Bank, National Association",IL,541420,Limited  Liability Company(LLC)
ARABELLA LLC,17162 BLUEWATER LN # 165,18340 YORBA LINDA BLVD # 107-24,YORBA LINDA,933-831-65,11/17/1997,0.0,"ARABELLA, LLC",PIQUA,OH,5832.5,5892.42,Paid in Full,04/10/2020,Minster Bank,OH,812112,Limited  Liability Company(LLC)
JS PROPERTIES LLC,121 MAIN ST,4475 MISSION BLVD STE 226,SAN DIEGO,024-153-17,03/22/2024,0.0,J & S  PROPERTIES LLC,Chouteau,OK,19740.0,19946.72,Paid in Full,01/17/2021,First Bank,OK,332710,Limited  Liability Company(LLC)
MJB RENTALS LLC,22 SURFSIDE AVE # B,10535 LEMORAN AVE,DOWNEY,178-491-14,,0.0,"MJB RENTALS, LLC.",Beaverton,OR,12607.29,,Paid in Full,04/27/2020,Washington Federal Bank d/b/a WaFd Bank,WA,532412,Limited  Liability Company(LLC)
LOS ALAMOS LLC,17101 ASH LN,1100 DENNIS DR,COSTA MESA,165-362-17,01/12/2016,2200000.0,LOS ALAMOS LLC,Uvalde,TX,64600.0,64923.88,Paid in Full,02/22/2021,First State Bank of Uvalde,TX,722513,Limited  Liability Company(LLC)
PARS LLC,200 HARBOR WOODS PL,3117 S COLUMBIA CIR,TULSA,934-040-58,06/14/2018,0.0,PARS LLC,Farmington Hills,MI,19169.0,19296.85,Paid in Full,03/12/2021,"JPMorgan Chase Bank, National Association",OH,722511,Corporation
ON THE EDGE DESIGNS LLC,419 29TH ST,76-6174 ALII DR,KAILUA KONA,932-840-98,08/31/2022,4579000.0,ON THE EDGE DESIGNS LLC,KAILUA KONA,HI,12900.0,13059.75,Paid in Full,04/27/2020,Bank of Hawaii,HI,531110,Limited  Liability Company(LLC)
DLC ENTERPRISES LLC,17392 QUEENS LN,2650 ELM AVE STE 218,LONG BEACH,165-233-04,12/02/2016,1125000.0,"DLC ENTERPRISES, LLC",Ashburn,VA,55000.0,55575.97,Paid in Full,01/28/2021,Fountainhead SBF LLC,FL,541519,Limited  Liability Company(LLC)
MY VILLAGE LLC,12555 EUCLID ST APT 53,PO BOX 2247,ANAHEIM,930-536-39,11/26/2002,0.0,MY VILLAGE LLC,OLYMPIA,WA,1000.0,1006.72,Paid in Full,05/08/2020,Washington State Employees Credit Union,WA,812990,Limited  Liability Company(LLC)
INFINITY PROPERTIES LLC,775 W 17TH ST STE E,3419 VIA LIDO # 650,NEWPORT BEACH,939-831-22,09/18/2025,901500.0,INFINITY PROPERTIES LLC,MOUNDS,OK,93200.0,94297.97,Paid in Full,04/08/2020,BancFirst,OK,236117,Limited Liability Partnership
