MailAddress,llc_count,avg_sale_value,first_sale,last_sale,llc_names,apns,risk_level,cluster_notes
19100 VON KARMAN AVE STE 570,3,1912000.0,10/27/2017,10/27/2017,FOCUS REALTY LLC,934-057-12; 934-057-13; 934-057-23,MONITOR,
690 APPIAN WAY,3,0.0,05/30/2025,05/30/2025,HEATHER DOWNS APARTMENTS LLC,023-161-19; 023-161-20; 023-161-17,MONITOR,
3 TIZMIN,3,0.0,,,4651 RHAPSODY DRIVE LLC | 4801 KAUI DRIVE LLC | 6001 JADE CIRCLE LLC,178-091-12; 178-115-37; 195-031-27,MONITOR,
10221 SLATER AVE STE 107,3,0.0,06/04/2007,10/21/2011,DUBY RESIDENTIAL THREE LLC | DUBY RESIDENTIAL TWO LLC | THREE TWO TWO LLC,024-026-03; 165-302-07; 165-302-08,MONITOR,
123 MELROSE DR,3,3350000.0,03/03/2023,03/03/2023,SANTOS JOYCE LLC,934-057-04; 934-057-05; 934-057-06,MONITOR,
2900 BRISTOL ST STE B204,3,945500.0,10/18/2016,10/18/2016,MERRICK 621 EXCHANGE LLC,939-570-67; 939-570-68; 939-570-69,MONITOR,
25 PACIFIC MIST,3,3560000.0,06/05/2023,06/05/2023,FAKHRI LLC | KOOSHA LLC,178-142-04; 142-101-19; 142-101-20,MONITOR,
921 EMERALD BAY,3,0.0,01/15/2021,01/15/2021,DEL MAR ESTATES LLC | JANRIC REAL ESTATE LLC,934-040-60; 153-201-20; 153-201-06,MONITOR,
4 ROCKLEDGE RD,3,0.0,12/07/1973,12/07/1973,5401 MCFADDEN AVENUE NO 2 LLC | PICK RANCH NO 2 LLC,145-483-12; 145-452-01; 145-452-02,MONITOR,
21846 TUMBLEWEED CIR,3,0.0,01/06/2011,04/20/2010,TERZAIL LLC,024-224-06; 024-204-24; 024-204-23,MONITOR,
6303 E CEDARBROOKS RD,3,206333.0,05/30/2014,10/31/2013,IC & KY LLC | TK & CY LLC,930-940-36; 936-191-53; 936-191-59,MONITOR,
151 KALMUS DR STE H1,3,686667.0,01/15/2019,09/20/2012,GEO FLO HOLDINGS LLC | GLD HOLDINGS LLC,024-026-01; 178-261-03; 025-171-04,MONITOR,
11940 N RIVIERA,3,283333.0,04/06/2001,07/02/2019,MARCY RANCH LLC,165-261-50; 165-261-52; 165-261-51,MONITOR,
PO BOX 891,3,0.0,04/19/2010,04/19/2010,PACIFIC AVE LLC | SEAL BEACH RENTALS LLC,178-538-09; 938-960-66; 938-960-67,MONITOR,USPS PO Box network
PO BOX 3450,3,970000.0,03/20/2012,03/20/2012,RANWEST PROPERTIES LLC,195-162-05; 195-162-04; 195-162-06,MONITOR,USPS PO Box network
2022 VIA CERRITOS,3,10917500.0,08/28/2019,08/28/2019,ADKOK LLC,165-225-07; 165-234-13; 165-225-06,MONITOR,
4800 COLEMAN CREEK RD,3,0.0,03/08/2019,03/08/2019,BUSBY FAMILY LLC,142-131-12; 142-131-09; 142-131-10,MONITOR,
PO BOX 1874,3,1899000.0,05/28/2015,05/28/2015,PACIFIC AVENUE SUNSET BEACH LLC,178-511-05; 178-511-07; 178-511-06,MONITOR,USPS PO Box network
637 CHANNEL WAY,3,1321667.0,02/17/2023,12/21/2021,HABIQO LLC,939-484-61; 930-617-81; 930-618-68,MONITOR,
265 XIMENO AVE,3,1412833.0,02/14/2007,06/11/2024,BENZEN PROPERTY LLC BUCK | CAB ASSET PROPERTIES LLC | KNB ASSET PROPERTIES LLC,145-537-08; 178-341-25; 163-032-15,MONITOR,
4 EMBARCADERO CTR STE 3300,3,65500000.0,09/27/2018,09/27/2018,SCG EDINGER PLAZA LLC,142-112-09; 142-112-08; 142-112-10,MONITOR,
1630 CRESTVIEW AVE,3,0.0,11/27/2024,11/27/2024,MOODY FAMILY HOLDINGS SB LLC,178-511-08; 178-511-11; 178-511-09,MONITOR,
11292 WESTERN AVE,3,0.0,10/28/2008,10/28/2008,RONNENBERG FAMILY LLC,178-502-24; 178-515-08; 178-535-05,MONITOR,
3120 MAINE AVE,3,273333.0,05/19/2017,11/18/2019,MAISON PACAUT LLC | P A L PROJECTS LLC,938-691-16; 938-691-17; 938-691-15,MONITOR,
